Freq.	V(out)
1.91866874067026e+02	(-1.45666313674033e+02dB,8.91618741871867e+01°)
1.92309172891013e+02	(-1.45606313606428e+02dB,8.91599437755672e+01°)
1.92752491319091e+02	(-1.45546313538510e+02dB,8.91580089099558e+01°)
1.93196831701689e+02	(-1.45486313470279e+02dB,8.91560695800933e+01°)
1.93642196394658e+02	(-1.45426313401733e+02dB,8.91541257756970e+01°)
1.94088587759275e+02	(-1.45366313332870e+02dB,8.91521774864603e+01°)
1.94536008162263e+02	(-1.45306313263689e+02dB,8.91502247020528e+01°)
1.94984459975802e+02	(-1.45246313194190e+02dB,8.91482674121205e+01°)
1.95433945577536e+02	(-1.45186313124369e+02dB,8.91463056062852e+01°)
1.95884467350596e+02	(-1.45126313054226e+02dB,8.91443392741450e+01°)
1.96336027683602e+02	(-1.45066312983760e+02dB,8.91423684052738e+01°)
1.96788628970681e+02	(-1.45006312912968e+02dB,8.91403929892216e+01°)
1.97242273611482e+02	(-1.44946312841849e+02dB,8.91384130155142e+01°)
1.97696964011183e+02	(-1.44886312770402e+02dB,8.91364284736533e+01°)
1.98152702580507e+02	(-1.44826312698625e+02dB,8.91344393531162e+01°)
1.98609491735734e+02	(-1.44766312626517e+02dB,8.91324456433562e+01°)
1.99067333898716e+02	(-1.44706312554076e+02dB,8.91304473338020e+01°)
1.99526231496885e+02	(-1.44646312481301e+02dB,8.91284444138580e+01°)
1.99986186963271e+02	(-1.44586312408190e+02dB,8.91264368729043e+01°)
2.00447202736513e+02	(-1.44526312334741e+02dB,8.91244247002963e+01°)
2.00909281260870e+02	(-1.44466312260954e+02dB,8.91224078853649e+01°)
2.01372424986236e+02	(-1.44406312186825e+02dB,8.91203864174164e+01°)
2.01836636368153e+02	(-1.44346312112355e+02dB,8.91183602857323e+01°)
2.02301917867824e+02	(-1.44286312037541e+02dB,8.91163294795696e+01°)
2.02768271952125e+02	(-1.44226311962381e+02dB,8.91142939881604e+01°)
2.03235701093619e+02	(-1.44166311886875e+02dB,8.91122538007118e+01°)
2.03704207770569e+02	(-1.44106311811020e+02dB,8.91102089064063e+01°)
2.04173794466950e+02	(-1.44046311734815e+02dB,8.91081592944011e+01°)
2.04644463672464e+02	(-1.43986311658258e+02dB,8.91061049538288e+01°)
2.05116217882553e+02	(-1.43926311581348e+02dB,8.91040458737965e+01°)
2.05589059598411e+02	(-1.43866311504083e+02dB,8.91019820433863e+01°)
2.06062991326997e+02	(-1.43806311426461e+02dB,8.90999134516554e+01°)
2.06538015581050e+02	(-1.43746311348481e+02dB,8.90978400876352e+01°)
2.07014134879101e+02	(-1.43686311270141e+02dB,8.90957619403324e+01°)
2.07491351745488e+02	(-1.43626311191439e+02dB,8.90936789987278e+01°)
2.07969668710366e+02	(-1.43566311112374e+02dB,8.90915912517771e+01°)
2.08449088309726e+02	(-1.43506311032944e+02dB,8.90894986884105e+01°)
2.08929613085401e+02	(-1.43446310953148e+02dB,8.90874012975324e+01°)
2.09411245585086e+02	(-1.43386310872983e+02dB,8.90852990680220e+01°)
2.09893988362349e+02	(-1.43326310792448e+02dB,8.90831919887324e+01°)
2.10377843976644e+02	(-1.43266310711541e+02dB,8.90810800484914e+01°)
2.10862814993325e+02	(-1.43206310630261e+02dB,8.90789632361007e+01°)
2.11348903983661e+02	(-1.43146310548606e+02dB,8.90768415403363e+01°)
2.11836113524847e+02	(-1.43086310466574e+02dB,8.90747149499484e+01°)
2.12324446200018e+02	(-1.43026310384163e+02dB,8.90725834536610e+01°)
2.12813904598268e+02	(-1.42966310301372e+02dB,8.90704470401722e+01°)
2.13304491314654e+02	(-1.42906310218199e+02dB,8.90683056981542e+01°)
2.13796208950220e+02	(-1.42846310134642e+02dB,8.90661594162528e+01°)
2.14289060112002e+02	(-1.42786310050699e+02dB,8.90640081830877e+01°)
2.14783047413050e+02	(-1.42726309966368e+02dB,8.90618519872524e+01°)
2.15278173472434e+02	(-1.42666309881649e+02dB,8.90596908173139e+01°)
2.15774440915263e+02	(-1.42606309796538e+02dB,8.90575246618131e+01°)
2.16271852372698e+02	(-1.42546309711034e+02dB,8.90553535092643e+01°)
2.16770410481966e+02	(-1.42486309625136e+02dB,8.90531773481552e+01°)
2.17270117886371e+02	(-1.42426309538842e+02dB,8.90509961669471e+01°)
2.17770977235312e+02	(-1.42366309452149e+02dB,8.90488099540747e+01°)
2.18272991184296e+02	(-1.42306309365055e+02dB,8.90466186979458e+01°)
2.18776162394951e+02	(-1.42246309277560e+02dB,8.90444223869417e+01°)
2.19280493535041e+02	(-1.42186309189661e+02dB,8.90422210094169e+01°)
2.19785987278479e+02	(-1.42126309101357e+02dB,8.90400145536987e+01°)
2.20292646305342e+02	(-1.42066309012644e+02dB,8.90378030080878e+01°)
2.20800473301886e+02	(-1.42006308923522e+02dB,8.90355863608577e+01°)
2.21309470960560e+02	(-1.41946308833989e+02dB,8.90333646002551e+01°)
2.21819641980018e+02	(-1.41886308744043e+02dB,8.90311377144994e+01°)
2.22330989065136e+02	(-1.41826308653681e+02dB,8.90289056917827e+01°)
2.22843514927026e+02	(-1.41766308562902e+02dB,8.90266685202701e+01°)
2.23357222283049e+02	(-1.41706308471705e+02dB,8.90244261880994e+01°)
